  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65(1)412                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -7.000  -0.5629   0.07844   0.07408  -0.0305   0.9994   0.0945
  -6.000  -0.5457   0.05922   0.05430  -0.0407   0.9698   0.1158
  -4.000  -0.3755   0.03306   0.02481  -0.0424   0.9279   0.0722
  -3.000  -0.2500   0.02769   0.01844  -0.0443   0.9095   0.0764
  -2.000  -0.1659   0.02531   0.01596  -0.0408   0.8893   0.1212
  -1.000  -0.1750   0.02551   0.01915  -0.0121   0.8662   0.8532
   0.000   0.0657   0.02993   0.02299  -0.0311   0.8536   0.9412
   1.000   0.1609   0.03050   0.02345  -0.0359   0.8327   0.9724
   2.000   0.3260   0.03113   0.02409  -0.0509   0.8127   1.0000
   3.000   0.2914   0.03167   0.02455  -0.0324   0.7816   1.0000
   4.000   0.3923   0.03260   0.02546  -0.0330   0.7579   1.0000
   5.000   0.4752   0.03379   0.02683  -0.0306   0.7154   1.0000
   6.000   0.7702   0.01832   0.00982  -0.0357   0.2496   1.0000
   9.000   0.9970   0.04568   0.03814  -0.0212   0.0527   1.0000
